Flora Description,Flora Type,Installation Date,Location
Echinacea ;Tiki Torch;  75ct,PERENNIAL,10/12/2012,Meatpacking District
Hemerocallis ;Spellbinder;  30ct,PERENNIAL,10/12/2012,Meatpacking District
Origanum ;Kent Beauty;   50ct,PERENNIAL,10/12/2012,Meatpacking District
Geranium biokora  80ct,PERENNIAL,10/12/2012,Meatpacking District
Heuchera ;Christa;  70ct,PERENNIAL,10/12/2012,Meatpacking District
Aster novae-angliae ;Purple Dome;  35ct,PERENNIAL,10/12/2012,Meatpacking District
Imperata koenigii ;Red Baron;  380ct,PERENNIAL,10/12/2012,Meatpacking District
Gaillardia ;Oranges and Lemons;   60ct,PERENNIAL,10/12/2012,Meatpacking District
Hosta ;Sum & Substance;  6ct,PERENNIAL,10/12/2012,Meatpacking District
Hemerocallis ;Ruffled Apricot; 60ct,PERENNIAL,10/12/2012,Meatpacking District
Hemerocallis ;Ruby Stella;  60ct,PERENNIAL,10/12/2012,Meatpacking District
Veronica ;Sunny Border;   100ct,PERENNIAL,10/12/2012,Meatpacking District
Geum ;Totally Tangerine;   60ct,PERENNIAL,10/12/2012,Meatpacking District
Euonymus ;Gold Splash;  75ct,SHRUB,10/12/2012,Meatpacking District
Rosa ;Rainbow Knockout;   12ct,SHRUB,10/12/2012,Meatpacking District
Rosa ;Sunny Knockout;   12ct,SHRUB,10/12/2012,Meatpacking District
Hydrangea macrophylla ;Nikko;   3ct,SHRUB,10/12/2012,Meatpacking District
Habitat Heliport Plant Bed,PLANTBED,04/26/2012,Chelsea
Rhudebeckia Fuldiga ;Goldstrum; 60ct,PERENNIAL,04/26/2012,Chelsea
Helenium Sahin;s ;Early Flowerer; 40ct,PERENNIAL,04/26/2012,Chelsea
Panicum var. shenandoa 40ct,PERENNIAL,04/26/2012,Chelsea
Echinacea purpurea ;White Swan; 50ct,PERENNIAL,04/26/2012,Chelsea
Echinacea ;Kim;s Knee High; 30ct,PERENNIAL,04/26/2012,Chelsea
Habitat Plant Bed,PLANTBED,04/26/2012,Chelsea
South Habitat Plant Bed,PLANTBED,04/26/2012,Chelsea
Narcissus,PERENNIAL,04/02/2012,Tribeca
Liriope muscari ;Big Blue; 600ct,PERENNIAL,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Gleditsia triacanthos,TREE,04/02/2012,Tribeca
Malus ;Prairie Fire;,TREE,04/02/2012,Tribeca
Malus ;Prairie Fire;,TREE,04/02/2012,Tribeca
Malus ;Prairie Fire;,TREE,04/02/2012,Tribeca
Malus ;Prairie Fire;,TREE,04/02/2012,Tribeca
Zelkova serrata ;Green Vase;,TREE,04/02/2012,Greenwich Village
